normalized-losses	make	fuel-type	aspiration	num-of-doors	body-style	drive-wheels	engine-location	wheel-base	length	width	height	curb-weight	engine-type	num-of-cylinders	engine-size	fuel-system	bore	stroke	compression-ratio	horsepower	peak-rpm	city-mpg	highway-mpg	price	symboling
110.00	dodge	gas	std	four	wagon	fwd	front	103.30	174.60	64.60	59.80	2535.00	ohc	four	122.00	2bbl	3.34	3.46	8.50	88.00	5000.00	24.00	30.00	8921.00	_-1
145.00	dodge	gas	turbo	two	hatchback	fwd	front	95.90	173.20	66.30	50.20	2811.00	ohc	four	156.00	mfi	3.60	3.90	7.00	145.00	5000.00	19.00	24.00	12964.00	_3
137.00	honda	gas	std	two	hatchback	fwd	front	86.60	144.60	63.90	50.80	1713.00	ohc	four	92.00	1bbl	2.91	3.41	9.60	58.00	4800.00	49.00	54.00	6479.00	_2
137.00	honda	gas	std	two	hatchback	fwd	front	86.60	144.60	63.90	50.80	1819.00	ohc	four	92.00	1bbl	2.91	3.41	9.20	76.00	6000.00	31.00	38.00	6855.00	_2
101.00	honda	gas	std	two	hatchback	fwd	front	93.70	150.00	64.00	52.60	1837.00	ohc	four	79.00	1bbl	2.91	3.07	10.10	60.00	5500.00	38.00	42.00	5399.00	_1
101.00	honda	gas	std	two	hatchback	fwd	front	93.70	150.00	64.00	52.60	1940.00	ohc	four	92.00	1bbl	2.91	3.41	9.20	76.00	6000.00	30.00	34.00	6529.00	_1
101.00	honda	gas	std	two	hatchback	fwd	front	93.70	150.00	64.00	52.60	1956.00	ohc	four	92.00	1bbl	2.91	3.41	9.20	76.00	6000.00	30.00	34.00	7129.00	_1
110.00	honda	gas	std	four	sedan	fwd	front	96.50	163.40	64.00	54.50	2010.00	ohc	four	92.00	1bbl	2.91	3.41	9.20	76.00	6000.00	30.00	34.00	7295.00	_0
78.00	honda	gas	std	four	wagon	fwd	front	96.50	157.10	63.90	58.30	2024.00	ohc	four	92.00	1bbl	2.92	3.41	9.20	76.00	6000.00	30.00	34.00	7295.00	_0
106.00	honda	gas	std	two	hatchback	fwd	front	96.50	167.50	65.20	53.30	2236.00	ohc	four	110.00	1bbl	3.15	3.58	9.00	86.00	5800.00	27.00	33.00	7895.00	_0
106.00	honda	gas	std	two	hatchback	fwd	front	96.50	167.50	65.20	53.30	2289.00	ohc	four	110.00	1bbl	3.15	3.58	9.00	86.00	5800.00	27.00	33.00	9095.00	_0
85.00	honda	gas	std	four	sedan	fwd	front	96.50	175.40	65.20	54.10	2304.00	ohc	four	110.00	1bbl	3.15	3.58	9.00	86.00	5800.00	27.00	33.00	8845.00	_0
85.00	honda	gas	std	four	sedan	fwd	front	96.50	175.40	62.50	54.10	2372.00	ohc	four	110.00	1bbl	3.15	3.58	9.00	86.00	5800.00	27.00	33.00	10295.00	_0
85.00	honda	gas	std	four	sedan	fwd	front	96.50	175.40	65.20	54.10	2465.00	ohc	four	110.00	mpfi	3.15	3.58	9.00	101.00	5800.00	24.00	28.00	12945.00	_0
107.00	honda	gas	std	two	sedan	fwd	front	96.50	169.10	66.00	51.00	2293.00	ohc	four	110.00	2bbl	3.15	3.58	9.10	100.00	5500.00	25.00	31.00	10345.00	_1
122.00	isuzu	gas	std	four	sedan	rwd	front	94.30	170.70	61.80	53.50	2337.00	ohc	four	111.00	2bbl	3.31	3.23	8.50	78.00	4800.00	24.00	29.00	6785.00	_0
122.00	isuzu	gas	std	two	sedan	fwd	front	94.50	155.90	63.60	52.00	1874.00	ohc	four	90.00	2bbl	3.03	3.11	9.60	70.00	5400.00	38.00	43.00	13207.13	_1
122.00	isuzu	gas	std	four	sedan	fwd	front	94.50	155.90	63.60	52.00	1909.00	ohc	four	90.00	2bbl	3.03	3.11	9.60	70.00	5400.00	38.00	43.00	13207.13	_0
122.00	isuzu	gas	std	two	hatchback	rwd	front	96.00	172.60	65.20	51.40	2734.00	ohc	four	119.00	spfi	3.43	3.23	9.20	90.00	5000.00	24.00	29.00	11048.00	_2
145.00	jaguar	gas	std	four	sedan	rwd	front	113.00	199.60	69.60	52.80	4066.00	dohc	six	258.00	mpfi	3.63	4.17	8.10	176.00	4750.00	15.00	19.00	32250.00	_0
122.00	jaguar	gas	std	four	sedan	rwd	front	113.00	199.60	69.60	52.80	4066.00	dohc	six	258.00	mpfi	3.63	4.17	8.10	176.00	4750.00	15.00	19.00	35550.00	_0
122.00	jaguar	gas	std	two	sedan	rwd	front	102.00	191.70	70.60	47.80	3950.00	ohcv	twelve	326.00	mpfi	3.54	2.76	11.50	262.00	5000.00	13.00	17.00	36000.00	_0
104.00	mazda	gas	std	two	hatchback	fwd	front	93.10	159.10	64.20	54.10	1890.00	ohc	four	91.00	2bbl	3.03	3.15	9.00	68.00	5000.00	30.00	31.00	5195.00	_1
104.00	mazda	gas	std	two	hatchback	fwd	front	93.10	159.10	64.20	54.10	1900.00	ohc	four	91.00	2bbl	3.03	3.15	9.00	68.00	5000.00	31.00	38.00	6095.00	_1
104.00	mazda	gas	std	two	hatchback	fwd	front	93.10	159.10	64.20	54.10	1905.00	ohc	four	91.00	2bbl	3.03	3.15	9.00	68.00	5000.00	31.00	38.00	6795.00	_1
113.00	mazda	gas	std	four	sedan	fwd	front	93.10	166.80	64.20	54.10	1945.00	ohc	four	91.00	2bbl	3.03	3.15	9.00	68.00	5000.00	31.00	38.00	6695.00	_1
113.00	mazda	gas	std	four	sedan	fwd	front	93.10	166.80	64.20	54.10	1950.00	ohc	four	91.00	2bbl	3.08	3.15	9.00	68.00	5000.00	31.00	38.00	7395.00	_1
150.00	mazda	gas	std	two	hatchback	rwd	front	95.30	169.00	65.70	49.60	2380.00	rotor	two	70.00	4bbl	3.33	3.26	9.40	101.00	6000.00	17.00	23.00	10945.00	_3
150.00	mazda	gas	std	two	hatchback	rwd	front	95.30	169.00	65.70	49.60	2380.00	rotor	two	70.00	4bbl	3.33	3.26	9.40	101.00	6000.00	17.00	23.00	11845.00	_3
150.00	mazda	gas	std	two	hatchback	rwd	front	95.30	169.00	65.70	49.60	2385.00	rotor	two	70.00	4bbl	3.33	3.26	9.40	101.00	6000.00	17.00	23.00	13645.00	_3
150.00	mazda	gas	std	two	hatchback	rwd	front	95.30	169.00	65.70	49.60	2500.00	rotor	two	80.00	mpfi	3.33	3.26	9.40	135.00	6000.00	16.00	23.00	15645.00	_3
129.00	mazda	gas	std	two	hatchback	fwd	front	98.80	177.80	66.50	53.70	2385.00	ohc	four	122.00	2bbl	3.39	3.39	8.60	84.00	4800.00	26.00	32.00	8845.00	_1
115.00	mazda	gas	std	four	sedan	fwd	front	98.80	177.80	66.50	55.50	2410.00	ohc	four	122.00	2bbl	3.39	3.39	8.60	84.00	4800.00	26.00	32.00	8495.00	_0
129.00	mazda	gas	std	two	hatchback	fwd	front	98.80	177.80	66.50	53.70	2385.00	ohc	four	122.00	2bbl	3.39	3.39	8.60	84.00	4800.00	26.00	32.00	10595.00	_1
115.00	mazda	gas	std	four	sedan	fwd	front	98.80	177.80	66.50	55.50	2410.00	ohc	four	122.00	2bbl	3.39	3.39	8.60	84.00	4800.00	26.00	32.00	10245.00	_0
122.00	mazda	diesel	std	?	sedan	fwd	front	98.80	177.80	66.50	55.50	2443.00	ohc	four	122.00	idi	3.39	3.39	22.70	64.00	4650.00	36.00	42.00	10795.00	_0
115.00	mazda	gas	std	four	hatchback	fwd	front	98.80	177.80	66.50	55.50	2425.00	ohc	four	122.00	2bbl	3.39	3.39	8.60	84.00	4800.00	26.00	32.00	11245.00	_0
118.00	mazda	gas	std	four	sedan	rwd	front	104.90	175.00	66.10	54.40	2670.00	ohc	four	140.00	mpfi	3.76	3.16	8.00	120.00	5000.00	19.00	27.00	18280.00	_0
122.00	mazda	diesel	std	four	sedan	rwd	front	104.90	175.00	66.10	54.40	2700.00	ohc	four	134.00	idi	3.43	3.64	22.00	72.00	4200.00	31.00	39.00	18344.00	_0
93.00	mercedes-benz	diesel	turbo	four	sedan	rwd	front	110.00	190.90	70.30	56.50	3515.00	ohc	five	183.00	idi	3.58	3.64	21.50	123.00	4350.00	22.00	25.00	25552.00	_-1
93.00	mercedes-benz	diesel	turbo	four	wagon	rwd	front	110.00	190.90	70.30	58.70	3750.00	ohc	five	183.00	idi	3.58	3.64	21.50	123.00	4350.00	22.00	25.00	28248.00	_-1
93.00	mercedes-benz	diesel	turbo	two	hardtop	rwd	front	106.70	187.50	70.30	54.90	3495.00	ohc	five	183.00	idi	3.58	3.64	21.50	123.00	4350.00	22.00	25.00	28176.00	_0
93.00	mercedes-benz	diesel	turbo	four	sedan	rwd	front	115.60	202.60	71.70	56.30	3770.00	ohc	five	183.00	idi	3.58	3.64	21.50	123.00	4350.00	22.00	25.00	31600.00	_-1
122.00	mercedes-benz	gas	std	four	sedan	rwd	front	115.60	202.60	71.70	56.50	3740.00	ohcv	eight	234.00	mpfi	3.46	3.10	8.30	155.00	4750.00	16.00	18.00	34184.00	_-1
142.00	mercedes-benz	gas	std	two	convertible	rwd	front	96.60	180.30	70.50	50.80	3685.00	ohcv	eight	234.00	mpfi	3.46	3.10	8.30	155.00	4750.00	16.00	18.00	35056.00	_3
122.00	mercedes-benz	gas	std	four	sedan	rwd	front	120.90	208.10	71.70	56.70	3900.00	ohcv	eight	308.00	mpfi	3.80	3.35	8.00	184.00	4500.00	14.00	16.00	40960.00	_0
122.00	mercedes-benz	gas	std	two	hardtop	rwd	front	112.00	199.20	72.00	55.40	3715.00	ohcv	eight	304.00	mpfi	3.80	3.35	8.00	184.00	4500.00	14.00	16.00	45400.00	_1
122.00	mercury	gas	turbo	two	hatchback	rwd	front	102.70	178.40	68.00	54.80	2910.00	ohc	four	140.00	mpfi	3.78	3.12	8.00	175.00	5000.00	19.00	24.00	16503.00	_1
161.00	mitsubishi	gas	std	two	hatchback	fwd	front	93.70	157.30	64.40	50.80	1918.00	ohc	four	92.00	2bbl	2.97	3.23	9.40	68.00	5500.00	37.00	41.00	5389.00	_2
161.00	mitsubishi	gas	std	two	hatchback	fwd	front	93.70	157.30	64.40	50.80	1944.00	ohc	four	92.00	2bbl	2.97	3.23	9.40	68.00	5500.00	31.00	38.00	6189.00	_2
161.00	mitsubishi	gas	std	two	hatchback	fwd	front	93.70	157.30	64.40	50.80	2004.00	ohc	four	92.00	2bbl	2.97	3.23	9.40	68.00	5500.00	31.00	38.00	6669.00	_2
161.00	mitsubishi	gas	turbo	two	hatchback	fwd	front	93.00	157.30	63.80	50.80	2145.00	ohc	four	98.00	spdi	3.03	3.39	7.60	102.00	5500.00	24.00	30.00	7689.00	_1
153.00	mitsubishi	gas	turbo	two	hatchback	fwd	front	96.30	173.00	65.40	49.40	2370.00	ohc	four	110.00	spdi	3.17	3.46	7.50	116.00	5500.00	23.00	30.00	9959.00	_3
153.00	mitsubishi	gas	std	two	hatchback	fwd	front	96.30	173.00	65.40	49.40	2328.00	ohc	four	122.00	2bbl	3.35	3.46	8.50	88.00	5000.00	25.00	32.00	8499.00	_3
122.00	mitsubishi	gas	turbo	two	hatchback	fwd	front	95.90	173.20	66.30	50.20	2833.00	ohc	four	156.00	spdi	3.58	3.86	7.00	145.00	5000.00	19.00	24.00	12629.00	_3
122.00	mitsubishi	gas	turbo	two	hatchback	fwd	front	95.90	173.20	66.30	50.20	2921.00	ohc	four	156.00	spdi	3.59	3.86	7.00	145.00	5000.00	19.00	24.00	14869.00	_3
122.00	mitsubishi	gas	turbo	two	hatchback	fwd	front	95.90	173.20	66.30	50.20	2926.00	ohc	four	156.00	spdi	3.59	3.86	7.00	145.00	5000.00	19.00	24.00	14489.00	_3
125.00	mitsubishi	gas	std	four	sedan	fwd	front	96.30	172.40	65.40	51.60	2365.00	ohc	four	122.00	2bbl	3.35	3.46	8.50	88.00	5000.00	25.00	32.00	6989.00	_1
125.00	mitsubishi	gas	std	four	sedan	fwd	front	96.30	172.40	65.40	51.60	2405.00	ohc	four	122.00	2bbl	3.35	3.46	8.50	88.00	5000.00	25.00	32.00	8189.00	_1
125.00	mitsubishi	gas	turbo	four	sedan	fwd	front	96.30	172.40	65.40	51.60	2403.00	ohc	four	110.00	spdi	3.17	3.46	7.50	116.00	5500.00	23.00	30.00	9279.00	_1
137.00	mitsubishi	gas	std	four	sedan	fwd	front	96.30	172.40	65.40	51.60	2403.00	ohc	four	110.00	spdi	3.17	3.46	7.50	116.00	5500.00	23.00	30.00	9279.00	_-1
128.00	nissan	gas	std	two	sedan	fwd	front	94.50	165.30	63.80	54.50	1889.00	ohc	four	97.00	2bbl	3.15	3.29	9.40	69.00	5200.00	31.00	37.00	5499.00	_1
128.00	nissan	diesel	std	two	sedan	fwd	front	94.50	165.30	63.80	54.50	2017.00	ohc	four	103.00	idi	2.99	3.47	21.90	55.00	4800.00	45.00	50.00	7099.00	_1
128.00	nissan	gas	std	two	sedan	fwd	front	94.50	165.30	63.80	54.50	1918.00	ohc	four	97.00	2bbl	3.15	3.29	9.40	69.00	5200.00	31.00	37.00	6649.00	_1
122.00	nissan	gas	std	four	sedan	fwd	front	94.50	165.30	63.80	54.50	1938.00	ohc	four	97.00	2bbl	3.15	3.29	9.40	69.00	5200.00	31.00	37.00	6849.00	_1
103.00	nissan	gas	std	four	wagon	fwd	front	94.50	170.20	63.80	53.50	2024.00	ohc	four	97.00	2bbl	3.15	3.29	9.40	69.00	5200.00	31.00	37.00	7349.00	_1
128.00	nissan	gas	std	two	sedan	fwd	front	94.50	165.30	63.80	54.50	1951.00	ohc	four	97.00	2bbl	3.15	3.29	9.40	69.00	5200.00	31.00	37.00	7299.00	_1
128.00	nissan	gas	std	two	hatchback	fwd	front	94.50	165.60	63.80	53.30	2028.00	ohc	four	97.00	2bbl	3.15	3.29	9.40	69.00	5200.00	31.00	37.00	7799.00	_1
122.00	nissan	gas	std	four	sedan	fwd	front	94.50	165.30	63.80	54.50	1971.00	ohc	four	97.00	2bbl	3.15	3.29	9.40	69.00	5200.00	31.00	37.00	7499.00	_1
103.00	nissan	gas	std	four	wagon	fwd	front	94.50	170.20	63.80	53.50	2037.00	ohc	four	97.00	2bbl	3.15	3.29	9.40	69.00	5200.00	31.00	37.00	7999.00	_1
168.00	nissan	gas	std	two	hardtop	fwd	front	95.10	162.40	63.80	53.30	2008.00	ohc	four	97.00	2bbl	3.15	3.29	9.40	69.00	5200.00	31.00	37.00	8249.00	_2
106.00	nissan	gas	std	four	hatchback	fwd	front	97.20	173.40	65.20	54.70	2324.00	ohc	four	120.00	2bbl	3.33	3.47	8.50	97.00	5200.00	27.00	34.00	8949.00	_0
106.00	nissan	gas	std	four	sedan	fwd	front	97.20	173.40	65.20	54.70	2302.00	ohc	four	120.00	2bbl	3.33	3.47	8.50	97.00	5200.00	27.00	34.00	9549.00	_0
128.00	nissan	gas	std	four	sedan	fwd	front	100.40	181.70	66.50	55.10	3095.00	ohcv	six	181.00	mpfi	3.43	3.27	9.00	152.00	5200.00	17.00	22.00	13499.00	_0
108.00	nissan	gas	std	four	wagon	fwd	front	100.40	184.60	66.50	56.10	3296.00	ohcv	six	181.00	mpfi	3.43	3.27	9.00	152.00	5200.00	17.00	22.00	14399.00	_0
108.00	nissan	gas	std	four	sedan	fwd	front	100.40	184.60	66.50	55.10	3060.00	ohcv	six	181.00	mpfi	3.43	3.27	9.00	152.00	5200.00	19.00	25.00	13499.00	_0
194.00	nissan	gas	std	two	hatchback	rwd	front	91.30	170.70	67.90	49.70	3071.00	ohcv	six	181.00	mpfi	3.43	3.27	9.00	160.00	5200.00	19.00	25.00	17199.00	_3
194.00	nissan	gas	turbo	two	hatchback	rwd	front	91.30	170.70	67.90	49.70	3139.00	ohcv	six	181.00	mpfi	3.43	3.27	7.80	200.00	5200.00	17.00	23.00	19699.00	_3
231.00	nissan	gas	std	two	hatchback	rwd	front	99.20	178.50	67.90	49.70	3139.00	ohcv	six	181.00	mpfi	3.43	3.27	9.00	160.00	5200.00	19.00	25.00	18399.00	_1
161.00	peugot	gas	std	four	sedan	rwd	front	107.90	186.70	68.40	56.70	3020.00	l	four	120.00	mpfi	3.46	3.19	8.40	97.00	5000.00	19.00	24.00	11900.00	_0
161.00	peugot	diesel	turbo	four	sedan	rwd	front	107.90	186.70	68.40	56.70	3197.00	l	four	152.00	idi	3.70	3.52	21.00	95.00	4150.00	28.00	33.00	13200.00	_0
122.00	peugot	gas	std	four	wagon	rwd	front	114.20	198.90	68.40	58.70	3230.00	l	four	120.00	mpfi	3.46	3.19	8.40	97.00	5000.00	19.00	24.00	12440.00	_0
122.00	peugot	diesel	turbo	four	wagon	rwd	front	114.20	198.90	68.40	58.70	3430.00	l	four	152.00	idi	3.70	3.52	21.00	95.00	4150.00	25.00	25.00	13860.00	_0
161.00	peugot	gas	std	four	sedan	rwd	front	107.90	186.70	68.40	56.70	3075.00	l	four	120.00	mpfi	3.46	2.19	8.40	95.00	5000.00	19.00	24.00	15580.00	_0
161.00	peugot	diesel	turbo	four	sedan	rwd	front	107.90	186.70	68.40	56.70	3252.00	l	four	152.00	idi	3.70	3.52	21.00	95.00	4150.00	28.00	33.00	16900.00	_0
122.00	peugot	gas	std	four	wagon	rwd	front	114.20	198.90	68.40	56.70	3285.00	l	four	120.00	mpfi	3.46	2.19	8.40	95.00	5000.00	19.00	24.00	16695.00	_0
122.00	peugot	diesel	turbo	four	wagon	rwd	front	114.20	198.90	68.40	58.70	3485.00	l	four	152.00	idi	3.70	3.52	21.00	95.00	4150.00	25.00	25.00	17075.00	_0
161.00	peugot	gas	std	four	sedan	rwd	front	107.90	186.70	68.40	56.70	3075.00	l	four	120.00	mpfi	3.46	3.19	8.40	97.00	5000.00	19.00	24.00	16630.00	_0
161.00	peugot	diesel	turbo	four	sedan	rwd	front	107.90	186.70	68.40	56.70	3252.00	l	four	152.00	idi	3.70	3.52	21.00	95.00	4150.00	28.00	33.00	17950.00	_0
161.00	peugot	gas	turbo	four	sedan	rwd	front	108.00	186.70	68.30	56.00	3130.00	l	four	134.00	mpfi	3.61	3.21	7.00	142.00	5600.00	18.00	24.00	18150.00	_0
119.00	plymouth	gas	std	two	hatchback	fwd	front	93.70	157.30	63.80	50.80	1918.00	ohc	four	90.00	2bbl	2.97	3.23	9.40	68.00	5500.00	37.00	41.00	5572.00	_1
119.00	plymouth	gas	turbo	two	hatchback	fwd	front	93.70	157.30	63.80	50.80	2128.00	ohc	four	98.00	spdi	3.03	3.39	7.60	102.00	5500.00	24.00	30.00	7957.00	_1
154.00	plymouth	gas	std	four	hatchback	fwd	front	93.70	157.30	63.80	50.60	1967.00	ohc	four	90.00	2bbl	2.97	3.23	9.40	68.00	5500.00	31.00	38.00	6229.00	_1
154.00	plymouth	gas	std	four	sedan	fwd	front	93.70	167.30	63.80	50.80	1989.00	ohc	four	90.00	2bbl	2.97	3.23	9.40	68.00	5500.00	31.00	38.00	6692.00	_1
154.00	plymouth	gas	std	four	sedan	fwd	front	93.70	167.30	63.80	50.80	2191.00	ohc	four	98.00	2bbl	2.97	3.23	9.40	68.00	5500.00	31.00	38.00	7609.00	_1
74.00	plymouth	gas	std	four	wagon	fwd	front	103.30	174.60	64.60	59.80	2535.00	ohc	four	122.00	2bbl	3.35	3.46	8.50	88.00	5000.00	24.00	30.00	8921.00	_-1
122.00	plymouth	gas	turbo	two	hatchback	rwd	front	95.90	173.20	66.30	50.20	2818.00	ohc	four	156.00	spdi	3.59	3.86	7.00	145.00	5000.00	19.00	24.00	12764.00	_3
186.00	porsche	gas	std	two	hatchback	rwd	front	94.50	168.90	68.30	50.20	2778.00	ohc	four	151.00	mpfi	3.94	3.11	9.50	143.00	5500.00	19.00	27.00	22018.00	_3
122.00	porsche	gas	std	two	hardtop	rwd	rear	89.50	168.90	65.00	51.60	2756.00	ohcf	six	194.00	mpfi	3.74	2.90	9.50	207.00	5900.00	17.00	25.00	32528.00	_3
122.00	porsche	gas	std	two	hardtop	rwd	rear	89.50	168.90	65.00	51.60	2756.00	ohcf	six	194.00	mpfi	3.74	2.90	9.50	207.00	5900.00	17.00	25.00	34028.00	_3
122.00	porsche	gas	std	two	convertible	rwd	rear	89.50	168.90	65.00	51.60	2800.00	ohcf	six	194.00	mpfi	3.74	2.90	9.50	207.00	5900.00	17.00	25.00	37028.00	_3
122.00	porsche	gas	std	two	hatchback	rwd	front	98.40	175.70	72.30	50.50	3366.00	dohcv	eight	203.00	mpfi	3.94	3.11	10.00	288.00	5750.00	17.00	28.00	13207.13	_1
122.00	renault	gas	std	four	wagon	fwd	front	96.10	181.50	66.50	55.20	2579.00	ohc	four	132.00	mpfi	3.46	3.90	8.70	104.26	5125.37	23.00	31.00	9295.00	_0
122.00	renault	gas	std	two	hatchback	fwd	front	96.10	176.80	66.60	50.50	2460.00	ohc	four	132.00	mpfi	3.46	3.90	8.70	104.26	5125.37	23.00	31.00	9895.00	_2
150.00	saab	gas	std	two	hatchback	fwd	front	99.10	186.60	66.50	56.10	2658.00	ohc	four	121.00	mpfi	3.54	3.07	9.31	110.00	5250.00	21.00	28.00	11850.00	_3
104.00	saab	gas	std	four	sedan	fwd	front	99.10	186.60	66.50	56.10	2695.00	ohc	four	121.00	mpfi	3.54	3.07	9.30	110.00	5250.00	21.00	28.00	12170.00	_2
150.00	saab	gas	std	two	hatchback	fwd	front	99.10	186.60	66.50	56.10	2707.00	ohc	four	121.00	mpfi	2.54	2.07	9.30	110.00	5250.00	21.00	28.00	15040.00	_3
104.00	saab	gas	std	four	sedan	fwd	front	99.10	186.60	66.50	56.10	2758.00	ohc	four	121.00	mpfi	3.54	3.07	9.30	110.00	5250.00	21.00	28.00	15510.00	_2
150.00	saab	gas	turbo	two	hatchback	fwd	front	99.10	186.60	66.50	56.10	2808.00	dohc	four	121.00	mpfi	3.54	3.07	9.00	160.00	5500.00	19.00	26.00	18150.00	_3
104.00	saab	gas	turbo	four	sedan	fwd	front	99.10	186.60	66.50	56.10	2847.00	dohc	four	121.00	mpfi	3.54	3.07	9.00	160.00	5500.00	19.00	26.00	18620.00	_2
